year,population,births,deaths,avgEnergy,food,timeMs,sensingMs,decisionMs,actionMs,maintenanceMs,statsMs
1,500,0,0,101.20,97820,237.351,88.470,43.033,11.750,85.102,2.268
2,500,0,0,125.80,142753,41.419,8.777,1.744,6.453,17.079,3.334
3,500,0,0,160.60,185112,34.967,9.995,3.077,9.902,4.240,3.440
4,500,0,0,200.20,225294,28.896,3.997,3.443,9.512,4.296,3.141
5,500,0,0,242.40,263786,29.344,4.843,3.224,9.117,3.969,3.320
6,500,0,0,287.80,300390,30.530,5.556,3.363,9.163,4.176,3.181
7,500,0,0,337.80,335091,28.223,3.638,2.764,9.323,4.244,2.790
8,500,0,0,384.40,367882,22.771,3.706,3.361,5.925,2.706,1.505
9,500,0,0,438.40,399146,18.144,1.971,1.212,4.245,3.085,1.728
10,501,1,0,491.02,428548,19.087,1.611,1.751,4.833,3.267,1.644
11,502,1,0,550.16,456922,20.674,1.732,1.726,4.836,4.156,1.787
12,504,2,0,605.44,483879,19.910,1.784,1.965,4.872,3.394,1.470
13,506,2,0,662.17,509336,19.981,1.783,1.576,4.964,3.588,1.591
14,506,0,0,723.20,533178,19.991,1.975,1.595,5.627,2.957,1.421
15,506,0,0,785.61,555856,17.837,1.577,1.605,4.097,2.820,1.494
16,506,0,0,848.42,577605,18.055,1.528,1.762,4.162,3.221,1.366
17,506,0,0,912.41,598367,17.723,1.541,1.696,4.025,3.204,1.367
18,506,0,0,978.57,618030,17.740,1.605,1.606,4.136,3.028,1.493
19,507,1,0,1045.24,636834,17.698,1.516,1.772,4.205,3.116,1.356
20,508,1,0,1112.39,654625,18.529,1.563,1.454,4.950,2.375,2.648
21,509,1,0,1177.87,671503,17.500,1.533,1.551,4.366,3.137,1.555
22,512,3,0,1236.43,687471,16.928,1.552,1.509,4.287,2.997,1.324
23,514,2,0,1298.47,702672,16.581,1.544,1.466,4.324,2.867,1.206
24,515,1,0,1363.95,716963,16.493,1.530,1.468,4.533,2.534,1.402
25,517,2,0,1427.33,730817,16.462,1.503,1.694,4.193,2.946,1.240
26,519,2,0,1490.92,743716,16.199,1.555,1.581,4.124,2.776,1.435
27,521,2,0,1552.03,756001,16.860,1.574,2.375,4.201,2.439,1.666
28,524,3,0,1611.61,767779,15.601,1.586,1.216,4.763,2.145,1.434
29,525,1,0,1677.53,778924,16.255,1.504,1.734,4.260,2.900,1.391
30,526,1,0,1743.54,789449,15.987,1.602,2.789,2.971,2.833,1.428
31,527,1,0,1807.74,799692,16.387,1.589,1.417,5.867,1.622,1.488
32,531,4,0,1861.28,809313,17.005,2.093,3.278,2.538,3.249,1.662
33,533,2,0,1922.17,818307,16.834,1.547,1.431,5.602,2.433,1.691
34,535,2,0,1983.66,826903,15.877,1.509,3.462,2.513,3.194,1.073
35,538,3,0,2040.99,835161,15.193,1.970,1.031,5.330,1.321,1.540
36,540,2,0,2100.17,842874,15.524,1.515,1.439,4.698,2.984,1.031
37,542,2,0,2159.75,850307,15.491,2.113,1.134,4.382,2.973,0.945
38,545,3,0,2213.47,857251,15.581,1.606,1.417,4.841,2.242,1.564
39,547,2,0,2273.75,863958,16.948,1.619,1.482,5.733,2.817,1.506
40,551,4,0,2323.76,870358,15.426,2.270,0.986,4.700,2.255,1.423
41,558,7,0,2359.44,876358,16.340,2.229,1.071,5.595,1.599,1.787
42,564,6,0,2399.11,882148,15.484,2.264,0.942,5.733,1.396,1.479
43,569,5,0,2442.02,887569,15.547,2.063,1.128,4.710,3.099,1.023
44,575,6,0,2481.77,892672,14.840,1.615,3.502,2.162,2.662,1.213
45,577,4,2,2537.11,897524,15.255,2.181,1.055,5.315,1.375,1.722
46,582,5,0,2578.79,902108,16.602,1.650,3.897,3.136,2.859,1.531
47,584,2,0,2634.25,906542,15.707,2.107,1.571,4.962,1.560,1.705
48,589,5,0,2673.36,910782,16.325,2.148,1.038,6.048,1.718,1.611
49,594,5,0,2714.00,914733,15.738,1.768,1.434,5.020,2.206,1.673
50,595,1,0,2772.64,918494,15.983,2.223,1.143,5.878,2.277,0.971
51,600,5,0,2810.51,921953,15.980,1.621,1.511,5.918,1.608,1.777
52,606,6,0,2844.04,925295,17.076,2.183,1.884,5.222,3.365,1.024
53,610,4,0,2886.80,928590,15.157,1.655,1.627,4.287,3.182,1.035
54,614,4,0,2930.50,931593,15.829,2.046,2.200,4.991,1.605,1.634
55,618,4,0,2971.23,934406,15.923,1.752,1.608,4.621,2.741,1.535
56,622,5,1,3010.68,937259,16.057,2.243,1.148,4.970,3.327,1.035
57,631,9,0,3025.96,939945,15.791,2.174,1.073,5.919,1.571,1.549
58,635,4,0,3066.52,942451,17.117,2.231,1.053,5.769,1.530,3.114
59,640,5,0,3102.52,944710,15.697,1.635,3.265,3.967,1.583,1.536
60,646,6,0,3131.40,946953,15.301,1.661,2.656,3.307,2.948,1.355
61,659,13,0,3124.19,949131,16.353,2.202,1.091,6.689,1.355,1.614
62,672,13,0,3118.81,951133,15.705,1.650,1.524,6.019,1.469,1.574
63,679,7,0,3142.37,953079,15.795,1.665,3.624,2.685,3.415,1.027
64,684,5,0,3176.84,954902,15.094,1.696,1.800,4.406,2.707,1.087
65,696,12,0,3174.21,956612,17.056,1.779,2.903,5.775,1.570,1.641
66,706,10,0,3183.01,958262,15.528,1.910,2.895,4.352,2.156,0.887
67,719,13,0,3176.29,959853,15.715,2.280,1.034,4.934,2.987,1.075
68,729,10,0,3184.14,961307,15.842,2.202,3.022,2.868,2.657,1.551
69,737,8,0,3200.84,962671,15.315,1.928,1.457,4.931,2.169,1.405
70,743,6,0,3225.76,964060,15.491,2.246,1.052,5.087,2.270,1.503
71,755,12,0,3223.09,965353,16.839,1.616,1.484,6.125,2.910,1.394
72,768,15,2,3216.54,966549,15.701,2.114,3.109,2.662,2.609,1.637
73,779,14,3,3218.25,967730,15.436,2.195,3.243,2.706,2.836,1.124
74,791,12,0,3218.58,968785,15.488,2.263,0.942,5.931,1.227,1.768
75,796,5,0,3246.02,969770,15.122,1.620,2.291,3.639,2.693,1.557
76,808,12,0,3242.92,970716,15.060,1.734,1.395,4.487,2.278,1.719
77,821,13,0,3237.24,971666,18.016,1.771,3.477,4.133,1.572,3.457
78,836,15,0,3223.22,972601,16.360,1.880,1.533,5.498,2.932,1.071
79,849,13,0,3219.47,973395,15.334,1.854,2.293,3.608,2.822,1.452
80,862,13,0,3213.68,974188,15.479,2.157,0.982,5.071,2.595,1.363
81,877,16,1,3201.36,974837,16.286,1.761,3.820,2.852,3.018,1.620
82,890,13,0,3197.19,975474,15.649,2.263,1.038,5.835,1.605,1.570
83,901,11,0,3200.70,976169,16.292,1.827,3.407,3.145,2.603,1.854
84,917,17,1,3187.95,976783,17.685,1.746,3.234,5.203,2.113,1.847
85,936,19,0,3163.84,977352,16.060,2.256,1.271,5.057,2.468,1.617
86,951,17,2,3153.62,977890,15.776,1.769,1.969,4.390,2.703,1.440
87,963,16,4,3153.61,978407,16.580,1.811,1.674,5.755,2.430,1.409
88,976,13,0,3151.14,978946,15.522,2.201,3.004,3.159,2.382,1.531
89,984,11,3,3167.20,979417,14.707,1.440,1.822,3.814,2.829,1.426
90,1008,24,0,3128.46,979879,18.077,2.744,0.955,7.786,1.508,1.762
91,1031,23,0,3094.24,980377,15.729,2.157,1.159,4.946,2.586,1.523
92,1045,18,4,3088.78,980787,15.582,2.210,1.091,4.992,2.293,1.695
93,1064,19,0,3068.42,981131,15.053,1.614,1.467,5.048,2.237,1.440
94,1086,22,0,3041.66,981456,15.958,1.804,1.432,6.121,1.625,1.593
95,1106,20,0,3020.28,981768,16.549,1.806,4.788,2.317,2.493,1.627
96,1129,23,0,2991.79,982148,17.827,1.807,1.669,5.607,1.481,3.831
97,1157,28,0,2951.04,982459,15.931,1.913,2.099,4.854,2.118,1.405
98,1181,27,3,2922.54,982746,15.502,1.657,1.683,4.449,2.813,1.431
99,1214,36,3,2874.05,982952,15.733,2.311,1.098,5.853,1.438,1.683
100,1238,25,1,2848.39,983217,15.109,1.786,3.135,2.844,2.765,1.345
